study,report,authors,crop,p_dependency,farm_size,habitat,agr_intensity,distance_m,distance_measure,abundance_all,abundance_wild,sites,location,pollinator,sampling_effort,sampling_method,sampling_time_min,total_sampling_time_min,source
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,10,reported,74,74,10,C11,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,30,reported,83,83,10,C11,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,60,reported,125,125,10,C11,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,30,reported,67,67,10,C01,Bees,6,active,15,360,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),3,riparian forest ,high,10,reported,95,95,10,C04,Bees,6,active,15,360,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),3,riparian forest ,high,60,reported,87,87,10,C04,Bees,6,active,15,360,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,10,reported,75,75,10,C08,Bees,6,active,15,360,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,30,reported,77,77,10,C09,Bees,6,active,15,360,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,96.91,reported,124,98,10,PU1,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,88.48,reported,52,51,10,PU2,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,28.46,reported,166,58,10,RE1,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,21.51,reported,349,254,10,PA2,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,12.51,reported,243,64,10,CH1,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,124.62,reported,74,68,10,CH2,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,60.38,reported,42,36,10,RE2,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,151.37,reported,80,19,10,RE3,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,111.03,reported,138,113,10,UB1,Bees,2,active,3,NA,corresponding author(s)
Enriquez,Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),secondary vegetation,low,239.01,reported,189,184,10,UB2,Bees,2,active,3,NA,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,215.34,reported,2,0,6,BL,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,192.37,reported,17,5,6,CJ,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,36.51,reported,23,5,6,BM,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,73.35,reported,24,3,6,BK,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,661.38,reported,26,26,6,CH,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,19.69,reported,33,8,6,CB,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,27.56,reported,34,23,6,BF,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,14.4,reported,40,18.5,6,BB,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,309.68,reported,60,13,6,CE,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,3.11,reported,62,9,6,BI,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,525.57,reported,63,13.5,6,CG,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,107.88,reported,66.5,27,6,BG,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,659.64,reported,68,8,6,CI,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,6.27,reported,69,5,6,BJ,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,488.91,reported,72,3,6,CF,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,110.51,reported,74,9.5,6,BD,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,132.09,reported,106,36,6,BC,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,44.27,reported,109,34,6,BE,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,609.32,reported,124.5,11,6,CD,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,86.44,reported,504,504,6,CC,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,19.87,reported,528,515,6,BH,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,321.25,reported,538,510,6,BA,Insecta,1,active,60,60,corresponding author(s)
Escobedo,Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2 ha,forest,both,525.57,reported,556.5,257.5,6,CA,Insecta,1,active,60,60,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),2.35,other,low,210,estimated,7,3,15,P09,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),2.8,other,low,115,estimated,12,10,15,P14,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.79,other,low,90,estimated,16,8.666666667,15,P06,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),12.6,other,low,390,estimated,16.66666667,14.66666667,15,P16_1,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.31,other,low,80,estimated,20,15.33333333,15,P04,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.83,other,low,100,estimated,20,12,15,P11,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),1.36,other,low,85,estimated,21.33333333,11.33333333,15,P05,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),12.6,other,low,160,estimated,22,8,15,P16_3,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),1.06,other,low,135,estimated,24,9.333333333,15,P13,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.19,other,low,80,estimated,27.33333333,18,15,P03,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),1.47,other,low,110,estimated,27.33333333,18.66666667,15,P12,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.73,other,low,120,estimated,29.33333333,20,15,P01,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.01,other,low,40,estimated,30.66666667,20.66666667,15,P02,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),1.12,other,low,65,estimated,32.66666667,10.66666667,15,P07,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),12.6,other,low,170,estimated,32.66666667,7.333333333,15,P16_2,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),0.74,other,low,110,estimated,37.33333333,23.33333333,15,P10,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),4.03,other,low,220,estimated,37.7142857,12,15,P08_2,Bees,12,passive,27360,328320,corresponding author(s)
Geeraert,Geeraert,Geeraert et al. 2020,coffee,Modest (10-40%),4.03,other,low,250,estimated,40.66666667,11.33333333,15,P08_1,Bees,12,passive,27360,328320,corresponding author(s)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,25,reported,1.268292683,1.268292683,15,1NF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,25,reported,1.510638298,1.510638298,15,2NF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,25,reported,1.416666667,1.416666667,15,3NF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,25,reported,1.308633496,1.308633496,15,4NF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,25,reported,1.79398028,1.79398028,15,5NF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,75,reported,1.454545455,1.454545455,15,1MF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,75,reported,1.346153846,1.346153846,15,2MF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,75,reported,1.446428571,1.446428571,15,3MF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,75,reported,1.352941176,1.352941176,15,4MF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,75,reported,1.530612245,1.530612245,15,5MF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,150,reported,0.720930233,0.720930233,15,1FF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,150,reported,1.115384615,1.115384615,15,2FF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,150,reported,0.979591837,0.979591837,15,3FF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,150,reported,1.076923077,1.076923077,15,4FF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Gemmill,Gemmill,Gemmill-Herren and Ochieng' 2008,eggplant,Great (40-90%),<2ha,forest,high,150,reported,1.217391304,1.217391304,15,5FF,Bees,NA,active,10,NA,open access data (Ricketts et al. 2008)
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,8676,reported,2,0.45,6,site 5,Insecta,1,active,15,150,open access data
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,5475,reported,4.85,0.25,6,site 3,Insecta,1,active,15,150,open access data
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,769.82,reported,6.1,6.1,6,site 4,Insecta,1,active,15,150,open access data
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,7070,reported,7.25,0,6,site 6,Insecta,1,active,15,150,open access data
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,752,reported,7.35,1.85,6,site 2,Insecta,1,active,15,150,open access data
Hansen,Hansen,Hansen et al. 2020,guava,Little (0-10%),Medium (2 - 8 ha),forest,high,370.66,reported,12.85,11.85,6,site 1,Insecta,1,active,15,150,open access data
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,5,agroforests,high,255,reported,9,9,16,PH_1_R_2,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,6,agroforests,high,0,reported,4,4,16,PH_1_R_1,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,0.5,agroforests,high,125,reported,5,5,16,PH_1_R_4,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,0,reported,12,12,16,PH_1_R_3,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,230,reported,17,17,16,PH_1_R_6,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,2,agroforests,high,0,reported,14,14,16,PH_1_R_5,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,2,agroforests,high,60,reported,18,18,16,PH_1_R_8,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,0.3,agroforests,high,0,reported,23,23,16,PH_1_R_7,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,5,agroforests,high,165,reported,1,1,16,PH_1_R_10,Bees,4,active,15,60,corresponding author(s)
